ticker,company_name,current_price,managers,total_value,avg_portfolio_pct,manager_count,max_portfolio_pct,conviction_score
TRUP,Trupanion Inc.,39.99,Josh Tarasoff,42293000,11.9,1,11.9,9.72
AZO,AutoZone Inc.,3674.43,Pat Dorsey,132404000,11.87,1,11.87,9.7
DIS,Walt Disney Co.,112.62,"ValueAct Capital
Kahn Brothers Group
Lindsell Train",1186448000,11.0,3,11.95,9.68
OXY,Occidental Petroleum,41.2,"Prem Watsa
Francis Chou",267267000,10.38,2,13.58,9.67
REGN,Regeneron Pharmaceuticals,651.8,"Mason Hawkins
Michael Burry",66725000,10.04,2,14.0,9.62
FRPT,Freshpet Inc.,49.21,Glenn Welling,42076000,11.77,1,11.77,9.62
SNX,SYNNEX Corp.,156.49,Glenn Greenberg,511392000,11.72,1,11.72,9.58
HGV,Hilton Grand Vacations Inc.,41.45,Clifford Sosin,235052000,11.45,1,11.45,9.36
MNDY,monday.com Ltd.,205.24,Dennis Hong,88436000,11.16,1,11.16,9.13
CACC,Credit Acceptance Corp.,447.34,Robert Vinall,60902000,11.15,1,11.15,9.12
KO,Coca Cola Co.,68.9,Warren Buffett,28300000000,10.99,1,10.99,8.99
UNH,United Health Group Inc.,341.56,"Samantha McLemore
David Tepper
Michael Burry",898798000,9.36,3,11.85,8.83
FLUT,Flutter Entertainment Plc,232.59,"Tom Bancroft
AKO Capital",877914000,9.98,2,10.7,8.6
EWBC,East West Bancorp,101.6,Li Lu,280356000,10.43,1,10.43,8.54
OMF,OneMain Holdings,59.19,Glenn Greenberg,448595000,10.28,1,10.28,8.42
WIX,Wix.com Ltd.,145.54,Robert Vinall,55953000,10.24,1,10.24,8.39
NCNO,nCino Inc.,26.68,Dennis Hong,80771000,10.19,1,10.19,8.35
BAYRY,Bayer Ag Sponsored ADR,7.7,Kahn Brothers Group,50735000,10.19,1,10.19,8.35
ASML,ASML Holding NV,1059.23,"Pat Dorsey
Triple Frond Partners",167339000,9.86,2,10.06,8.35
BB,BlackBerry Ltd.,4.88,Prem Watsa,186794000,9.98,1,9.98,8.18
WCC,WESCO International Inc.,259.53,Seth Klarman,408848000,9.94,1,9.94,8.15
QSR,Restaurant Brands International,65.69,"Bill Ackman
Seth Klarman",1793176000,8.82,2,11.11,8.14
GTX,Garrett Motion Inc.,16.94,Howard Marks,387765000,9.82,1,9.82,8.06
WTW,Willis Towers Watson plc,313.1,Seth Klarman,402797000,9.79,1,9.79,8.03
KKR,KKR & Co. L.P.,118.33,"Chuck Akre
Stephen Mandel",1871643000,8.28,2,11.53,8.0
VRT,Vertiv Holdings Co.,192.86,Leon Cooperman,277082000,9.74,1,9.74,7.99
FOUR,Shift4 Payments Inc. CL A,69.1,Dennis Hong,77179000,9.74,1,9.74,7.99
TOL,Toll Brothers,134.95,Greenhaven Associates,639347000,9.51,1,9.51,7.81
COF,Capital One Financial,219.99,"Bill Nygren
Daniel Loeb
Glenn Greenberg
Clifford Sosin
John Armitage
Christopher Davis",3709866000,7.02,6,10.19,7.77
PCG,PG&E Corp.,15.96,Daniel Loeb,712334000,9.45,1,9.45,7.76
NVDA,NVIDIA Corp.,202.49,"Mairs & Power Growth Fund
Lee Ainslie
Daniel Loeb
Chase Coleman",3380172000,7.36,4,10.94,7.76
LRCX,Lam Research,157.46,Triple Frond Partners,53581000,9.39,1,9.39,7.71
CNQ,Canadian Natural Resources,32.02,Yacktman Asset Management,694784000,9.33,1,9.33,7.66
HHH,Howard Hughes Holdings Inc.,79.28,Bill Ackman,1272514000,9.27,1,9.27,7.62
FLG,Flagstar Financial Inc.,11.42,Kahn Brothers Group,45804000,9.2,1,9.2,7.56
WEN,Wendy's Co.,8.54,Nelson Peltz,347565000,9.17,1,9.17,7.54
RACE,Ferrari NV,403.95,Guy Spier - Aquamarine Capital,28978000,9.13,1,9.13,7.5
MDLZ,Mondelez International,57.46,Lindsell Train,385034000,9.07,1,9.07,7.46
PM,Philip Morris Intl.,144.33,"Terry Smith
Thomas Russo",2540262000,8.3,2,9.43,7.38
BRZE,Braze Inc A,28.66,Dennis Hong,70801000,8.94,1,8.94,7.35
DPZ,Dominos Pizza Inc.,398.46,Tom Bancroft,29273000,8.9,1,8.9,7.32
RBLX,Roblox Corp.,113.72,ValueAct Capital,497809000,8.89,1,8.89,7.31
ELV,Elevance Health Inc.,317.2,"Glenn Greenberg
Seth Klarman",671210000,7.86,2,9.89,7.29
SIRI,SiriusXM Holdings Inc,21.69,Francis Chou,16136000,8.83,1,8.83,7.26
